Outlet_Identifier,Item_Type,Item_Outlet_Sales,
OUT010,Baking Goods,0.010693414,
OUT010,Breads,0.007657366,
OUT010,Breakfast,0.004081354,
OUT010,Canned,0.009019593,
OUT010,Dairy,0.015307408,
OUT010,Frozen Foods,0.017942644,
OUT010,Fruits and Vegetables,0.024548046,
OUT010,Hard Drinks,0.004067372,
OUT010,Health and Hygiene,0.013570336,
OUT010,Household,0.025550075,
OUT010,Meat,0.013580988,
OUT010,Others,0.003256428,
OUT010,Seafood,0.000947433,
OUT010,Snack Foods,0.025942897,
OUT010,Soft Drinks,0.009441044,
OUT010,Starchy Foods,0.002733775,
OUT013,Baking Goods,0.149715783,
OUT013,Breads,0.052018288,
OUT013,Breakfast,0.027355725,
OUT013,Canned,0.143732238,
OUT013,Dairy,0.196254537,
OUT013,Frozen Foods,0.203696849,
OUT013,Fruits and Vegetables,0.341526771,
OUT013,Hard Drinks,0.05436257,
OUT013,Health and Hygiene,0.119135589,
OUT013,Household,0.248046453,
OUT013,Meat,0.095200079,
OUT013,Others,0.035238131,
OUT013,Seafood,0.008146729,
OUT013,Snack Foods,0.309246123,
OUT013,Soft Drinks,0.115234667,
OUT013,Starchy Foods,0.043753047,
OUT017,Baking Goods,0.147731033,
OUT017,Breads,0.049008872,
OUT017,Breakfast,0.024436192,
OUT017,Canned,0.175853093,
OUT017,Dairy,0.185955277,
OUT017,Frozen Foods,0.23934711,
OUT017,Fruits and Vegetables,0.319504104,
OUT017,Hard Drinks,0.055432511,
OUT017,Health and Hygiene,0.124751612,
OUT017,Household,0.222526339,
OUT017,Meat,0.096822633,
OUT017,Others,0.037388665,
OUT017,Seafood,0.01003294,
OUT017,Snack Foods,0.311071081,
OUT017,Soft Drinks,0.123710301,
OUT017,Starchy Foods,0.043893531,
OUT018,Baking Goods,0.121065077,
OUT018,Breads,0.054604921,
OUT018,Breakfast,0.02249605,
OUT018,Canned,0.145681701,
OUT018,Dairy,0.152130639,
OUT018,Frozen Foods,0.183599011,
OUT018,Fruits and Vegetables,0.263471708,
OUT018,Hard Drinks,0.049445637,
OUT018,Health and Hygiene,0.10884565,
OUT018,Household,0.196267187,
OUT018,Meat,0.094655454,
OUT018,Others,0.03707241,
OUT018,Seafood,0.022166479,
OUT018,Snack Foods,0.278714533,
OUT018,Soft Drinks,0.088495473,
OUT018,Starchy Foods,0.0331109,
OUT019,Baking Goods,0.014133602,
OUT019,Breads,0.00494756,
OUT019,Breakfast,0.003762436,
OUT019,Canned,0.016739544,
OUT019,Dairy,0.016144318,
OUT019,Frozen Foods,0.015252812,
OUT019,Fruits and Vegetables,0.024054022,
OUT019,Hard Drinks,0.001768365,
OUT019,Health and Hygiene,0.010945086,
OUT019,Household,0.018157032,
OUT019,Meat,0.011995719,
OUT019,Others,0.004522114,
OUT019,Seafood,0.001336926,
OUT019,Snack Foods,0.025653274,
OUT019,Soft Drinks,0.00911347,
OUT019,Starchy Foods,0.001167813,
OUT027,Baking Goods,0.224172197,
OUT027,Breads,0.110518805,
OUT027,Breakfast,0.050432353,
OUT027,Canned,0.272150411,
OUT027,Dairy,0.26231721,
OUT027,Frozen Foods,0.316272311,
OUT027,Fruits and Vegetables,0.576028189,
OUT027,Hard Drinks,0.078957888,
OUT027,Health and Hygiene,0.199084187,
OUT027,Household,0.37829957,
OUT027,Meat,0.216288459,
OUT027,Others,0.04051393,
OUT027,Seafood,0.018809516,
OUT027,Snack Foods,0.513088117,
OUT027,Soft Drinks,0.147822248,
OUT027,Starchy Foods,0.049170662,
OUT035,Baking Goods,0.135005598,
OUT035,Breads,0.076456477,
OUT035,Breakfast,0.031117495,
OUT035,Canned,0.195444258,
OUT035,Dairy,0.185067765,
OUT035,Frozen Foods,0.213487438,
OUT035,Fruits and Vegetables,0.304647443,
OUT035,Hard Drinks,0.049941658,
OUT035,Health and Hygiene,0.118230767,
OUT035,Household,0.269852735,
OUT035,Meat,0.1071938,
OUT035,Others,0.038047807,
OUT035,Seafood,0.023358927,
OUT035,Snack Foods,0.355573819,
OUT035,Soft Drinks,0.106751043,
OUT035,Starchy Foods,0.057945906,
OUT045,Baking Goods,0.150368933,
OUT045,Breads,0.065663859,
OUT045,Breakfast,0.021802953,
OUT045,Canned,0.174307772,
OUT045,Dairy,0.154650027,
OUT045,Frozen Foods,0.177020241,
OUT045,Fruits and Vegetables,0.326414442,
OUT045,Hard Drinks,0.056274082,
OUT045,Health and Hygiene,0.104603172,
OUT045,Household,0.22245643,
OUT045,Meat,0.08160644,
OUT045,Others,0.040165051,
OUT045,Seafood,0.025927584,
OUT045,Snack Foods,0.288438542,
OUT045,Soft Drinks,0.1086792,
OUT045,Starchy Foods,0.038346751,
OUT046,Baking Goods,0.173376317,
OUT046,Breads,0.071870447,
OUT046,Breakfast,0.016599726,
OUT046,Canned,0.173084697,
OUT046,Dairy,0.175086092,
OUT046,Frozen Foods,0.243236714,
OUT046,Fruits and Vegetables,0.304751308,
OUT046,Hard Drinks,0.044615924,
OUT046,Health and Hygiene,0.133189295,
OUT046,Household,0.219520252,
OUT046,Meat,0.095072245,
OUT046,Others,0.041540594,
OUT046,Seafood,0.026314413,
OUT046,Snack Foods,0.274813611,
OUT046,Soft Drinks,0.086064637,
OUT046,Starchy Foods,0.039258897,
OUT049,Baking Goods,0.139263389,
OUT049,Breads,0.060490593,
OUT049,Breakfast,0.03021467,
OUT049,Canned,0.138138187,
OUT049,Dairy,0.179680778,
OUT049,Frozen Foods,0.215879658,
OUT049,Fruits and Vegetables,0.335113785,
OUT049,Hard Drinks,0.062927421,
OUT049,Health and Hygiene,0.112844445,
OUT049,Household,0.254817639,
OUT049,Meat,0.105149794,
OUT049,Others,0.047772482,
OUT049,Seafood,0.011827271,
OUT049,Snack Foods,0.35024409,
OUT049,Soft Drinks,0.09758564,
OUT049,Starchy Foods,0.04201997,
